region,slot_index,utc_timestamp,residual_load_mw,signal_model,source_dataset
DE,0,2022-08-01T00:00:00Z,21963.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,1,2022-08-01T01:00:00Z,21505.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,2,2022-08-01T02:00:00Z,21806.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,3,2022-08-01T03:00:00Z,23228.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,4,2022-08-01T04:00:00Z,25316.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,5,2022-08-01T05:00:00Z,26383.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,6,2022-08-01T06:00:00Z,27017.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,7,2022-08-01T07:00:00Z,25538.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,8,2022-08-01T08:00:00Z,23493.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,9,2022-08-01T09:00:00Z,21639.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,10,2022-08-01T10:00:00Z,19624.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,11,2022-08-01T11:00:00Z,18033.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,12,2022-08-01T12:00:00Z,18190.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,13,2022-08-01T13:00:00Z,20928.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,14,2022-08-01T14:00:00Z,24349.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,15,2022-08-01T15:00:00Z,28423.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,16,2022-08-01T16:00:00Z,33741.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,17,2022-08-01T17:00:00Z,36477.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,18,2022-08-01T18:00:00Z,37298.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,19,2022-08-01T19:00:00Z,37440.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,20,2022-08-01T20:00:00Z,36301.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,21,2022-08-01T21:00:00Z,34143.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,22,2022-08-01T22:00:00Z,32569.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,23,2022-08-01T23:00:00Z,31246.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,24,2022-08-02T00:00:00Z,30769.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,25,2022-08-02T01:00:00Z,30505.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,26,2022-08-02T02:00:00Z,30379.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,27,2022-08-02T03:00:00Z,30864.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,28,2022-08-02T04:00:00Z,30215.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,29,2022-08-02T05:00:00Z,30165.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,30,2022-08-02T06:00:00Z,30495.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,31,2022-08-02T07:00:00Z,30285.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,32,2022-08-02T08:00:00Z,30338.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,33,2022-08-02T09:00:00Z,30103.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,34,2022-08-02T10:00:00Z,28467.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,35,2022-08-02T11:00:00Z,25195.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,36,2022-08-02T12:00:00Z,24480.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,37,2022-08-02T13:00:00Z,25062.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
DE,38,2022-08-02T14:00:00Z,25910.0,residual_load_lite_load_minus_wind_solar (analog year 2020; OPSD lacks 2022),OPSD time_series 2020-10-06
